Node list: nid001309
Sat Oct 18 20:48:01 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.163.01             Driver Version: 550.163.01     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:03:00.0 Off |                    0 |
| N/A   30C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA A100-SXM4-40GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   28C    P0             54W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA A100-SXM4-40GB          On  |   00000000:82:00.0 Off |                    0 |
| N/A   30C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   29C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
step: 10000/500000 | pT_loss: 0.1917 | eta_loss: 0.1709 | phi_loss: 0.0368 | energy_loss: 0.2079 | total_train_loss: 0.1518
step: 20000/500000 | pT_loss: 0.1613 | eta_loss: 0.1589 | phi_loss: 0.0293 | energy_loss: 0.1750 | total_train_loss: 0.1311
step: 30000/500000 | pT_loss: 0.1483 | eta_loss: 0.1541 | phi_loss: 0.0265 | energy_loss: 0.1610 | total_train_loss: 0.1225
step: 40000/500000 | pT_loss: 0.1410 | eta_loss: 0.1513 | phi_loss: 0.0250 | energy_loss: 0.1532 | total_train_loss: 0.1176
step: 50000/500000 | pT_loss: 0.1363 | eta_loss: 0.1496 | phi_loss: 0.0240 | energy_loss: 0.1480 | total_train_loss: 0.1145
step: 60000/500000 | pT_loss: 0.1329 | eta_loss: 0.1483 | phi_loss: 0.0234 | energy_loss: 0.1444 | total_train_loss: 0.1122
step: 70000/500000 | pT_loss: 0.1302 | eta_loss: 0.1473 | phi_loss: 0.0229 | energy_loss: 0.1415 | total_train_loss: 0.1105
step: 80000/500000 | pT_loss: 0.1280 | eta_loss: 0.1466 | phi_loss: 0.0225 | energy_loss: 0.1392 | total_train_loss: 0.1090
step: 90000/500000 | pT_loss: 0.1262 | eta_loss: 0.1458 | phi_loss: 0.0222 | energy_loss: 0.1374 | total_train_loss: 0.1079
step: 100000/500000 | pT_loss: 0.1249 | eta_loss: 0.1452 | phi_loss: 0.0219 | energy_loss: 0.1358 | total_train_loss: 0.1069
epoch: 1/5 | pT_loss: 0.1117 | eta_loss: 0.1382 | phi_loss: 0.0192 | energy_loss: 0.1215 | total_val_loss: 0.0976
step: 110000/500000 | pT_loss: 0.1125 | eta_loss: 0.1388 | phi_loss: 0.0196 | energy_loss: 0.1214 | total_train_loss: 0.0981
step: 120000/500000 | pT_loss: 0.1125 | eta_loss: 0.1385 | phi_loss: 0.0196 | energy_loss: 0.1214 | total_train_loss: 0.0980
step: 130000/500000 | pT_loss: 0.1122 | eta_loss: 0.1382 | phi_loss: 0.0196 | energy_loss: 0.1213 | total_train_loss: 0.0978
step: 140000/500000 | pT_loss: 0.1117 | eta_loss: 0.1380 | phi_loss: 0.0196 | energy_loss: 0.1209 | total_train_loss: 0.0975
step: 150000/500000 | pT_loss: 0.1116 | eta_loss: 0.1378 | phi_loss: 0.0196 | energy_loss: 0.1208 | total_train_loss: 0.0974
step: 160000/500000 | pT_loss: 0.1113 | eta_loss: 0.1376 | phi_loss: 0.0195 | energy_loss: 0.1205 | total_train_loss: 0.0972
