Node list: nid002084
Wed Oct 22 17:24:25 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.163.01             Driver Version: 550.163.01     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:03:00.0 Off |                    0 |
| N/A   30C    P0             51W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA A100-SXM4-40GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   28C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA A100-SXM4-40GB          On  |   00000000:82:00.0 Off |                    0 |
| N/A   29C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   28C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
step: 10000/500000 | pT_loss: 0.2155 | eta_loss: 0.1900 | phi_loss: 0.0521 | energy_loss: 0.2322 | total_train_loss: 0.1725
step: 20000/500000 | pT_loss: 0.1778 | eta_loss: 0.1705 | phi_loss: 0.0379 | energy_loss: 0.1919 | total_train_loss: 0.1445
step: 30000/500000 | pT_loss: 0.1622 | eta_loss: 0.1628 | phi_loss: 0.0327 | energy_loss: 0.1753 | total_train_loss: 0.1332
step: 40000/500000 | pT_loss: 0.1523 | eta_loss: 0.1584 | phi_loss: 0.0298 | energy_loss: 0.1649 | total_train_loss: 0.1263
step: 50000/500000 | pT_loss: 0.1458 | eta_loss: 0.1554 | phi_loss: 0.0279 | energy_loss: 0.1578 | total_train_loss: 0.1218
step: 60000/500000 | pT_loss: 0.1410 | eta_loss: 0.1533 | phi_loss: 0.0267 | energy_loss: 0.1527 | total_train_loss: 0.1184
step: 70000/500000 | pT_loss: 0.1374 | eta_loss: 0.1518 | phi_loss: 0.0257 | energy_loss: 0.1489 | total_train_loss: 0.1159
step: 80000/500000 | pT_loss: 0.1345 | eta_loss: 0.1505 | phi_loss: 0.0250 | energy_loss: 0.1458 | total_train_loss: 0.1140
step: 90000/500000 | pT_loss: 0.1323 | eta_loss: 0.1495 | phi_loss: 0.0245 | energy_loss: 0.1433 | total_train_loss: 0.1124
step: 100000/500000 | pT_loss: 0.1303 | eta_loss: 0.1485 | phi_loss: 0.0240 | energy_loss: 0.1412 | total_train_loss: 0.1110
epoch: 1/5 | pT_loss: 0.1183 | eta_loss: 0.1405 | phi_loss: 0.0198 | energy_loss: 0.1267 | total_val_loss: 0.1013
step: 110000/500000 | pT_loss: 0.1119 | eta_loss: 0.1387 | phi_loss: 0.0198 | energy_loss: 0.1215 | total_train_loss: 0.0980
step: 120000/500000 | pT_loss: 0.1114 | eta_loss: 0.1384 | phi_loss: 0.0198 | energy_loss: 0.1214 | total_train_loss: 0.0977
