Node list: nid001501
Sat Oct 18 20:47:07 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.163.01             Driver Version: 550.163.01     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:03:00.0 Off |                    0 |
| N/A   30C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA A100-SXM4-40GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   29C    P0             54W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA A100-SXM4-40GB          On  |   00000000:82:00.0 Off |                    0 |
| N/A   29C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   28C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
step: 10000/500000 | pT_loss: 0.2226 | eta_loss: 0.1907 | phi_loss: 0.0530 | energy_loss: 0.2343 | total_train_loss: 0.1752
step: 20000/500000 | pT_loss: 0.1815 | eta_loss: 0.1705 | phi_loss: 0.0389 | energy_loss: 0.1927 | total_train_loss: 0.1459
step: 30000/500000 | pT_loss: 0.1648 | eta_loss: 0.1629 | phi_loss: 0.0336 | energy_loss: 0.1761 | total_train_loss: 0.1344
step: 40000/500000 | pT_loss: 0.1551 | eta_loss: 0.1586 | phi_loss: 0.0306 | energy_loss: 0.1664 | total_train_loss: 0.1277
step: 50000/500000 | pT_loss: 0.1486 | eta_loss: 0.1558 | phi_loss: 0.0287 | energy_loss: 0.1597 | total_train_loss: 0.1232
step: 60000/500000 | pT_loss: 0.1439 | eta_loss: 0.1536 | phi_loss: 0.0274 | energy_loss: 0.1548 | total_train_loss: 0.1199
step: 70000/500000 | pT_loss: 0.1403 | eta_loss: 0.1519 | phi_loss: 0.0264 | energy_loss: 0.1510 | total_train_loss: 0.1174
step: 80000/500000 | pT_loss: 0.1373 | eta_loss: 0.1505 | phi_loss: 0.0257 | energy_loss: 0.1479 | total_train_loss: 0.1154
step: 90000/500000 | pT_loss: 0.1349 | eta_loss: 0.1494 | phi_loss: 0.0251 | energy_loss: 0.1453 | total_train_loss: 0.1137
step: 100000/500000 | pT_loss: 0.1328 | eta_loss: 0.1484 | phi_loss: 0.0246 | energy_loss: 0.1431 | total_train_loss: 0.1122
epoch: 1/5 | pT_loss: 0.1205 | eta_loss: 0.1643 | phi_loss: 0.0840 | energy_loss: 0.1309 | total_val_loss: 0.1249
step: 110000/500000 | pT_loss: 0.1152 | eta_loss: 0.1389 | phi_loss: 0.0200 | energy_loss: 0.1246 | total_train_loss: 0.0997
step: 120000/500000 | pT_loss: 0.1145 | eta_loss: 0.1387 | phi_loss: 0.0200 | energy_loss: 0.1238 | total_train_loss: 0.0992
